name_en,name_ar,lat,lon,parent_name_local
El-Alamiya,العلامية,31.157,31.132,مركز بيلا
El-Alamiya,العلامية,30.879,30.502,مركز الدلنجات
El-Alawiya,العلوية,30.579,31.604,مركز الزقازيق
El-Alawiya,العلوية,29.386,30.66,مركز أبشواى
El-Oleyqat,العليقات,25.933,32.832,مركز قوص
El-Eleimy,العليمى,30.057,31.234,قسم بولاق
El-Ammar El-Koubry,العمار الكبري,30.34,31.127,مركز طوخ
El-Amara,العمارة,30.532,31.636,مركز أبو حماد
El-Amarna,العمارنة,31.14,31.976,مركز المنزلة
El-Ammariya,العمارية,27.618,30.875,مركز دير مواس
El-Ammariya El-Sharqiya,العمارية الشرقية,27.611,30.869,مركز دير مواس
El-Amayda,العمايدة,26.43,31.741,مركز المنشأة
El-Amma,العمة,31.008,30.965,مركز قطور
El-Omdan,العمدان,31.221,30.887,مركز الرياض
El-Omda Nagm El-Din El-Zafer,العمدة نجم الدين الظافر,31.554,26.143,قسم سيدى برانى
El-Omraniya El-Sharqiya,العمرانية الشرقية,30.003,31.207,قسم العمرانية
El-Omraniya El-Gharbiya,العمرانية الغربية,29.998,31.198,قسم العمرانية
El-Omrawy,العمراوي,31.275,30.027,قسم المنتزة
El-Omra,العمرة,26.145,32.0,مركز أبو طشت
El-Omry,العمري,30.041,31.253,قسم الدرب الأحمر
El-Omry,العمري,30.783,30.983,قسم ثان طنطا
El-Omriya,العمرية,30.96,30.434,مركز دمنهور
El-Amour,العمور,26.633,31.543,مركز المراغة
El-Amid,العميد,30.837,29.291,قسم الحمام
El-Amid w Kafr Ali El-Sayed,العميدوكفرعلي السيد,30.911,31.555,مركز تمى الأمديد
El-Ananiya,العنانية,31.376,31.828,مركز دمياط
El-Anbariya,العنبرية,26.522,31.805,مركز المنشأة
El-Awasga,العواسجة,30.62,31.6,مركز ههيا
El-Awamer,العوامر,30.808,30.658,مركز إيتاى البارود
El-Awamer,العوامر,27.305,31.174,مركز أبنوب
El-Awamer El-Gharbiya,العوامر الغربية,26.106,32.056,مركز أبو طشت
El-Awamer Bahary,العوامربحري,26.316,31.84,مركز جرجا
El-Awamer Qibly,العوامرقبلي,26.309,31.85,مركز جرجا
El-Awamer w Beni Barza,العوامروبنيبرزة,26.182,32.079,مركز أبو طشت
El-Awamiya,العوامية,26.678,31.649,مركز ساقلته
El-Awawna,العواونة,29.118,30.953,مركز أهناسيا
El-Awayisa,العوايسة,28.296,30.727,مركز سمالوط
El-Awga,العوجا,30.972,30.544,مركز دمنهور
El-Awadiya,العوضية,31.211,31.617,مركز شربين
El-Oufy,العوفي,29.237,30.698,مركز أطسا
El-Awakliya,العوكلية,26.182,31.964,مركز البلينا
El-Ouna,العونة,27.09,31.353,مركز ساحل سليم
El-Oweidat,العويضات,25.986,32.8,مركز قفط
El-Oweina,العوينة,25.722,28.131,مركز الوحات الداخلة
El-Ayadiya,العيادية,31.233,31.523,مركز شربين
El-Ayyash,العياش,31.46,31.299,مركز البرلس
El-Ayayisha,العيايشة,25.827,32.78,مركز قوص
El-Eisawiya Sharq,العيساويةشرق,26.564,31.805,مركز أخميم
El-Eisawiya,العيسوية,29.975,31.241,قسم البساتين
El-Eisawiya,العيسوية,31.26,30.793,مركز سيدى سالم
El-Ein,العين,25.851,29.05,مركز الوحات الداخلة
El-Einy,العيني,30.028,31.235,قسم السيدة زينب
El-Ouyoun,العيون,30.842,30.618,مركز إيتاى البارود
El-Ghabat,الغابات,26.177,31.952,مركز البلينا
El-Ghaba,الغابة,30.731,31.74,مركز أبوكبير
El-Ghaba,الغابة,31.134,30.25,مركز ابوحمص
El-Ghaba,الغابة,29.246,30.747,مركز أطسا
El-Ghar,الغار,30.557,31.548,مركز الزقازيق
El-Gharaqa,الغراقة,30.882,31.337,مركز أجا
El-Gharbawy,الغرباوي,28.351,30.648,مركز سمالوط
El-Gharbi b El-Salamiya,الغربيب السلامية,26.052,32.271,مركز نجع حمادى
El-Gharbi Bahgoura,الغربيبهجورة,26.031,32.208,مركز نجع حمادى
El-Gharbi Qamoula,الغربيقمولا,25.806,32.712,مركز الأقصر
El-Gharbiya,الغربية,28.175,28.525,قسم الواحاتالبحرية
El-Garaq,الغرق,29.164,30.684,مركز أطسا
Al-Gharaq Qibli,الغرققبلي,29.124,30.697,مركز أطسا
Al-Gharaqan,الغرقان,28.296,34.377,قسم شرم الشيخ
Al-Gharqada,الغرقدة,30.342,33.639,قسم الحسنة
Al-Gharib,الغريب,30.668,31.263,مركز زفتى
Al-Gharib,الغريب,27.139,31.318,مركز ساحل سليم
Al-Gharira,الغريرة,25.522,32.47,مركز إسنا
Al-Ghariri,الغريري,30.215,31.312,مركز شبين القناطر
Al-Ghurayzat,الغريزات,26.616,31.515,مركز المراغة
Al-Ghazali,الغز الي,30.818,31.844,مركز فاقوس
Al-Ghazawiya,الغزاوية,30.371,31.192,مركز طوخ
Al-Ghafariya,الغفارية,30.361,31.405,مركز مشتول السوق
Al-Ghamrawi,الغمراوى,29.085,31.081,قسم بنى سويف
Al-Ghannamiya,الغنامية,30.213,31.004,مركز أشمون
Al-Ghunaymi,الغنيمي,31.132,30.775,مركز قلين
Al-Ghunaymiya,الغنيمية,31.307,31.734,مركز فارسكور
Al-Ghunaymiya,الغنيمية,26.169,31.974,مركز البلينا
Al-Ghawabin,الغوابين,31.337,31.763,مركز فارسكور
Al-Ghouri,الغوري,30.628,31.054,مركز بركة السبع
Al-Ghouriya,الغورية,30.045,31.262,قسم الدرب الأحمر
Al-Ghawsa,الغوصة,26.187,32.575,مركز قنا
Al-Gheita,الغيتة,30.914,30.078,مركز ابوالمطامير
Al-Fakhri,الفاخرى,31.528,26.074,قسم سيدى برانى
Al-Falouja,الف الوجا,30.61,30.511,مركز بدر
Al-Fath,الفتح,30.87,31.538,مركز السنبلاوين
Al-Fath Al-Gadida,الفتح الجديده,30.962,31.554,مركز تمى الأمديد
Al-Futouh,الفتوح,31.256,30.602,مركز فوه
Al-Faggala,الفج الة,30.064,31.25,قسم الأزبكية
Al-Faddadna,الفدادنة,30.729,31.763,مركز فاقوس
Al-Farasiya,الفراسية,26.726,31.615,مركز ساقلته
Al-Fardan,الفردان,30.723,32.303,مركز القنطرة
Al-Fardan Al-Gadida,الفردان الجديدة,30.566,32.133,مركز الاسماعيلية
Al-Firdaws wa Al-Kawthar,الفردوس و الكوثر,30.075,31.623,قسم ثان القاهرة الجديدة
Al-Farastaq,الفرستق,30.919,30.79,مركز بسيون
Al-Fara'ouniya,الفرعونية,30.339,31.053,مركز أشمون
Al-Furusat,الفروسات,31.116,31.901,مركز المنزلة
Al-Fuqa'i,الفقاعي,28.885,30.92,مركز ببا
Al-Fuqa'i,الفقاعي,27.992,30.721,مركز ابو قرقاص
Al-Fuqaha' Al-Bahariya,الفقهاء البحرية,31.363,30.662,مركز سيدى سالم
Al-Fuqaha' Al-Qibliya,الفقهاء القبلية,31.315,30.692,مركز سيدى سالم
Al-Fant,الفنت,28.759,30.883,مركز الفشن
Al-Fant Al-Gharbiya,الفنت الغربية,28.789,30.866,مركز الفشن
Al-Fahmiya,الفهمية,29.454,31.069,مركز طامية
Al-Fahmiyin,الفهميين,29.6,31.304,مركز الصف
Al-Fawaqsa,الفواقسة,30.629,31.627,مركز ههيا
Al-Fawwala,الف والة,30.05,31.246,قسم عابدين
Al-Fima,الفيما,27.212,31.245,مركز الفتح
Al-Qabuti,القابوطي,31.244,32.282,قسم الضواحى
Al-Qadiriya,القادرية,30.022,31.258,قسم الخليفة
Al-Qara,القارة,26.088,32.078,مركز أبو طشت
Al-Qara - Al-Gara,القارة - الجارة,30.884,25.233,قسم السلوم
Al-Qasimiya,القاسمية,29.208,30.721,مركز أطسا
Al-Qahir,القاهر,30.74,30.127,مركز ابوالمطامير
Al-Qayat,القايات,28.656,30.701,مركز العدوة
Al-Qabab Al-Sughra,القباب الصغري,31.098,31.571,مركز دكرنس
Al-Qabab Al-Kubra,القباب الكبري,31.1,31.535,مركز دكرنس
Al-Qababat,القبابات,29.472,31.258,مركز أطفيح
Al-Qabari Sharq,القباري شرق,31.176,29.882,قسم مينا البصل
Al-Qabari Gharb,القباري غرب,31.173,29.891,قسم مينا البصل
Al-Qabala,القب الة,28.446,29.153,قسم الواحاتالبحرية
Al-Qubba,القبة,30.089,31.289,قسم حدائقالقبة
Al-Qubba,القبة,30.579,31.338,مركز منيا القمح
Al-Qibli Samhoud,القبليسمهود,26.138,32.066,مركز أبو طشت
Al-Qibli Qamoula,القبليقمولا,25.784,32.697,مركز الأقصر
Al-Qubayba,القبيبة,26.059,32.19,مركز فرشوط
Al-Qubaysi,القبيسي,30.066,31.26,قسم الظاهر
Al-Qubaysat,القبيصات,26.753,31.472,مركز طهطا
Al-Qabila,القبيلة,30.057,31.249,قسم الأزبكية
Al-Qaratiya,القراطية,31.01,31.114,مركز المحله الكبرى
Al-Qaraqra,القراقرة,30.541,31.42,مركز منيا القمح
Al-Qaramita Sharq,القرامطةشرق,26.65,31.68,مركز ساقلته
Al-Qaramita Gharb,القرامطةغرب,26.626,31.665,مركز سوهاج
Al-Qaramous,القراموص,30.675,31.692,مركز أبوكبير
Al-Qaraya,القرايا,25.284,32.541,مركز إسنا
Al-Qarayin,القرايين,30.807,31.621,مركز كفر صقر
Al-Qarbiya,القربية,30.042,31.257,قسم الدرب الأحمر
Al-Qardahi,القرداحي,31.239,30.04,قسم المنتزة
Al-Qarshiya,القرشية,30.85,31.118,مركز السنطة
Al-Qarda,القرضا,31.061,30.956,مركز كفر الشيخ
Al-Qur'an,القرعان,26.297,31.856,مركز جرجا
Al-Qurna,القرنة,25.742,32.64,قسم الأقصر
Al-Qarnayn,القرنين,30.909,30.278,مركز حوش عيسى
Al-Qarawi,القروي,31.082,30.355,مركز ابوحمص
Al-Qura Al-Siyahiya,القرى السياحية,27.264,33.798,قسم أول الغردقة
Al-Qura Al-Siyahiya - Ni'ma,القرى السياحية - نعمه,28.032,34.27,قسم شرم الشيخ
Al-Qarya Al-Siyahiya - August,القرية السياحية - أوجست,28.7,34.6,قسم دهب
Al-Qarya bi Al-Duwayr,القريةب الدوير,26.842,31.36,مركز طما
Al-Quray'a,القريعة,30.647,33.885,قسم الشيخ زويد
Al-Quraynin,القرينين,30.42,31.084,مركز الباجور
Al-Qazaqza,القزاقزة,31.137,32.026,مركز المنزلة
Al-Qasima,القسيمة,30.34,34.503,قسم القسيمة
Al-Qashish,القشيش,30.235,31.293,مركز شبين القناطر
Al-Qassasin Al-Gadida,القصاصين الجديدة,30.549,31.979,مركز التل الكبير
Al-Qassasin Al-Qadima,القصاصين القديمة,30.53,31.897,مركز التل الكبير
Al-Qasaba,القصبة,28.951,30.857,مركز سمسطا
Al-Qasr,القصر,31.188,30.473,مركز المحمودية
Al-Qasr,القصر,28.432,28.745,قسم الواحاتالبحرية
Al-Qasr,القصر,27.224,31.22,مركز الفتح
Al-Qasr,القصر,26.091,32.31,مركز نجع حمادى
Al-Qasr,القصر,25.896,28.903,مركز الوحات الداخلة
Al-Qasr,القصر,31.359,27.068,قسم مرسى مطروح
Al-Qasriya,القصرية,31.012,31.204,مركز المحله الكبرى
Al-Qas'a - Bahari Sikkah Hadid Abu Qir,القصعى - بحرى سكه حديد ابو قير,31.242,29.975,قسم أول الرمل
Al-Qas'i Qibli,القصعيقبلي,31.243,29.981,قسم أول الرمل
Al-Qada,القضا,25.866,29.34,مركز الوحات الداخلة
Al-Qadaba,القضابة,30.952,30.778,مركز بسيون
Al-Qadabi,القضابي,31.272,30.674,مركز سيدى سالم
Al-Qadabi,القضابي,28.796,30.889,مركز الفشن
Al-Qudat,القضاة,30.83,31.729,مركز كفر صقر
Al-Qata,القطا,30.218,30.965,مركز إمبابة
Al-Qattara,القطارة,30.532,28.506,قسم الحمام
Al-Qattara,القطارة,31.508,25.112,قسم السلوم
Al-Qattamiya,القطاميه,29.978,31.405,قسم ثالث القاهرة الجديدة
Al-Qatawiya,القطاوية,30.546,31.659,مركز أبو حماد
Al-Qatayi',القطايع,30.743,31.485,مركز ديرب نجم
Al-Qatrani,القطراني,31.515,26.123,قسم سيدى برانى
Al-Qatsha,القطشة,31.132,32.044,مركز المنزلة
Al-Qutna,القطنة,26.861,31.345,مركز طما
Al-Qattouri,القطوري,29.47,31.205,مركز العياط
Al-Qatousha,القطوشة,28.351,30.666,مركز سمالوط
Al-Qalawat,القلاوات,30.764,30.638,مركز كوم حمادة
Al-Qalaya,القلاية,30.056,31.237,قسم بولاق
Al-Qalg,القلج,30.175,31.361,مركز الخانكة
Al-Qulzum,القلزم,30.375,31.303,مركز شبين القناطر
Al-Qalshi,القلشي,30.654,30.977,مركز تلا
Al-Qal'a,القلعة,26.02,32.825,مركز قفط
Al-Qal'iya,القلعية,26.102,32.167,مركز أبو طشت
Al-Qallali,القللي,30.062,31.242,قسم الأزبكية
Al-Qalamoun,القلمون,25.832,28.92,مركز الوحات الداخلة
Al-Qalamina,القلمينة,26.103,32.439,مركز الوقف
Al-Qulay'a,القليعة,28.87,30.804,مركز الفشن
Al-Qalyoubiya,القليوبية,31.114,31.57,مركز دكرنس
Al-Qamadira,القمادير,28.222,30.645,مركز سمالوط
Al-Qamana,القمانة,26.009,32.249,مركز نجع حمادى
Al-Qanatirin,القناطرين,30.326,31.035,مركز أشمون
Al-Qanan,القنان,30.887,31.557,مركز السنبلاوين
Al-Qanan,القنان,31.275,31.307,مركز بلقاس
Al-Qanan,القنان,25.133,32.74,مركز أدفو
Al-Qanawiya,القناوية,26.185,32.613,مركز قنا
Al-Qanawiya Al-Bahariya,القناوية البحرية,26.039,32.293,مركز نجع حمادى
Al-Qani,القني,31.315,30.561,مركز مطوبس
Al-Qahwaqiya,القهوقية,31.053,30.581,مركز الرحمانية
Al-Qawasim,القواسم,31.132,27.796,قسم مرسى مطروح
Al-Qouta,القوطا,27.244,31.228,مركز الفتح
Al-Qoumisiyoun Sharq,القومسيونشرق,31.285,30.596,مركز مطوبس
Al-Qoumisiyoun Gharb,القومسيونغرب,31.279,30.581,مركز مطوبس
Al-Qirattiyin,القيراطيين,30.164,31.141,مركز أوسيم
Al-Qays,القيس,28.467,30.772,مركز بنى مزار
Al-Qaytoun,القيطون,30.606,31.319,مركز ميت غمر
Al-Kagoug,الكاجوج,24.662,32.942,مركز كوم امبو
Al-Kara wa Al-Toubagiya wa Kafr Al-Ghatis,الكارة والطوبجيةوكفر الغاطس,31.182,29.897,قسم كرموز
Al-Kashif,الكاشف,31.06,33.852,قسم ثالث العريش
Al-Kashif Al-Gadida,الكاشف الجديدة,31.228,31.754,مركز الزرقا
Al-Kabsh,الكبش,30.029,31.246,قسم السيدة زينب
Al-Kabsh,الكبش,26.549,31.701,قسم ثان سوهاج
Al-Kattamiya,الكتامية,30.364,31.049,مركز الباجور
Al-Katiba,الكتيبة,30.431,31.609,مركز بلبيس
Al-Kadaya,الكداية,29.448,31.261,مركز أطفيح
Al-Karatiya,الكراتية,25.96,32.782,مركز قوص
Al-Karama,الكرامة,30.86,31.375,مركز أجا
Al-Karama,الكرامة,31.012,32.694,قسم رمانة
Al-Karama,الكرامه,25.03,32.921,مركز أدفو
Al-Kardoud,الكردود,30.869,30.253,مركز حوش عيسى
Al-Kurdi,الكردي,30.061,31.268,قسم الجمالية
Al-Kurdi,الكردي,31.093,30.815,مركز قلين
Al-Karsa,الكرسة,30.759,30.941,مركز طنطا
Al-Karam,الكرم,27.958,30.856,مركز ابو قرقاص
Al-Karma,الكرما,30.676,31.134,مركز السنطة
Al-Kurama',الكرماء,31.059,31.602,مركز دكرنس
Al-Kurama' Al-Gadida,الكرماء الجديدة,31.089,31.671,مركز دكرنس
Al-Karnak,الكرنك,26.072,32.101,مركز أبو طشت
Al-Karnak,الكرنك,25.713,32.66,قسم الأقصر
Al-Karnak Al-Gadida,الكرنك الجديد,25.721,32.672,قسم الأقصر
Al-Karimat,الكريمات,29.299,31.228,مركز أطفيح
Al-Karioun,الكريون,31.128,30.182,مركز كفر الدوار
Al-Kashh,الكشح,26.235,32.08,مركز دار السلام
Al-Ka'abi Al-Gadida,الكعابي الجديدة,29.388,30.882,مركز سنورس
Al-Ka'abi Al-Qadima,الكعابي القديمة,29.364,30.873,مركز سنورس
Al-Kifah,الكفاح,30.773,30.17,مركز ابوالمطامير
Al-Kifah,الكفاح,30.63,30.427,مركز بدر
Al-Kifah,الكفاح,26.913,28.121,مركز الفرافرة
Al-Kafr Al-Bahari,الكفر البحري,31.063,30.884,مركز قلين
Al-Kafr Al-Gadida,الكفر الجديد,31.256,31.805,مركز ميت سلسيل
Al-Kafr Al-Gadida,الكفر الجديد,31.197,30.84,مركز كفر الشيخ
Al-Kafr Al-Gadida,الكفر الجديد,31.063,30.652,مركز الرحمانية
Al-Kafr Al-Sharqi,الكفر الشرقي,31.281,31.088,مركز الحامول
Al-Kafr Al-Qadim,الكفر القديم,30.461,31.583,مركز بلبيس
Al-Kafra Al-Sharqiya,الكفرة الشرقية,30.781,30.995,قسم ثان طنطا
Al-Kufour wa Sa'i Al-Bahr,الكفوروساعي البحر,30.011,31.23,مصرالقديمة
Al-Kalabat,الكلابات,27.197,31.252,مركز الفتح
Al-Kalabiya,الكلابية,25.252,32.614,مركز إسنا
Al-Kalahin,الكلاحين,26.042,32.789,مركز قنا
Al-Kalahin,الكلاحين,25.963,32.832,مركز قفط
Al-Kalalsa,الكل السة,25.871,32.794,مركز قوص
Al-Kalh Sharq,الكلحشرق,25.071,32.864,مركز أدفو
Al-Kalh Gharb,الكلحغرب,25.047,32.842,مركز أدفو
Al-Kamal,الكم ال,30.954,31.511,مركز تمى الأمديد
Al-Kamal,الكم ال,28.137,30.584,مركز المنيا
Al-Kamaliya,الكم الية,30.896,31.164,مركز المحله الكبرى
Al-Kamayisha,الكمايشة,30.715,30.884,مركز تلا
Al-Kanayis,الكنايس,31.184,30.216,مركز كفر الدوار
El-Kantala,الكنتلا,29.985,34.619,قسم نخل
El-Kanisa,الكنيسة,29.982,31.181,قسم العمرانية
El-Kanisa,الكنيسة,28.757,30.792,مركز الفشن
El-Kawadi,الكوادي,30.22,31.018,مركز أشمون
El-Kawamel Bahari,الكواملبحري,26.474,31.702,مركز سوهاج
El-Kawamel Qibli,الكواملقبلي,26.448,31.705,مركز المنشأة
El-Koubania,الكوبانية,24.244,32.86,مركز أسوان
El-Kourdi,الكوردي,26.94,31.436,مركز صدفا
El-Koula,الكولة,26.522,31.822,مركز أخميم
El-Koum,الكوم,31.291,30.457,مركز رشيد
El-Koum El-Ahmar,الكوم الأحمر,30.29,31.269,مركز شبين القناطر
El-Koum El-Ahmar,الكوم الأحمر,30.46,30.983,مركز منوف
El-Koum El-Ahmar,الكوم الأحمر,30.114,31.173,مركز أوسيم
El-Koum El-Ahmar,الكوم الأحمر,29.103,31.081,مركز بنى سويف
El-Koum El-Ahmar,الكوم الأحمر,27.017,31.418,مركز البدارى
El-Koum El-Ahmar,الكوم الأحمر,26.07,32.141,مركز فرشوط
El-Koum El-Akhdar,الكوم الأخضر,30.601,31.013,مركز شبين الكوم
El-Koum El-Akhdar,الكوم الأخضر,30.946,30.301,مركز حوش عيسى
El-Koum El-Akhdar,الكوم الأخضر,29.986,31.163,قسم العمرانية
El-Koum El-Akhdar,الكوم الأخضر,28.669,30.826,مركز مغاغة
El-Koum El-Asfar,الكوم الأصفر,26.762,31.437,مركز طهطا
El-Koum El-Tawil,الكوم الطويل,31.22,31.09,مركز بيلا
El-Koumi,الكومي,29.452,31.028,مركز طامية
El-Kilo 21,الكيلو 21,30.976,34.305,قسم رفح
El-Kilo 45,الكيلو 45,28.869,33.189,قسم أبو رديس
El-Kilo 64,الكيلو 64,30.227,32.964,قسم الحسنة
El-Kilo 9,الكيلو 9,28.999,33.203,قسم أبو رديس
El-Lahoun,اللاهون,29.263,30.971,مركز الفيوم
El-Lisht,اللشت,29.589,31.228,مركز العياط
El-Lehibi,اللهيبى,29.702,31.246,مركز العياط
El-Liwaa Amin El-Sherif,اللواء أمين الشريف,30.049,31.251,قسم الموسكي
El-Liwaa Sabih,اللواء صبيح,26.974,27.709,مركز الفرافرة
El-Louqa,اللوقا,27.092,31.332,مركز ساحل سليم
El-Lowaya,اللوية,31.176,30.591,مركز المحمودية
El-Leqta,الليقطة,25.992,32.853,مركز قفط
El-Maza,الماظة,30.089,31.341,قسم مصرالجديدة
El-Malha,الم الحة,30.985,31.517,مركز المنصورة
El-Malaki,الم الكى,23.871,33.033,مركز أسوان
El-Malaki - Tahjir,المالكى - تهجير,24.571,33.02,مركز نصر
El-May,الماي,30.542,30.976,مركز شبين الكوم
El-Mabyada,المبيضة,30.079,31.241,قسم روضالفرج
El-Matania,المتانية,29.573,31.254,مركز العياط
El-Metras,المتراس,31.155,29.873,قسم مينا البصل
El-Matouh,المتوه,30.955,31.464,مركز السنبلاوين
El-Masani,المثانى,31.383,26.598,قسم مرسى مطروح
El-Mosallas,المثلث,31.281,30.937,مركز الرياض
El-Magabra,المجابرة,26.287,31.877,مركز جرجا
El-Magazer,المجازر,30.425,31.31,مركز منيا القمح
El-Magawrin,المجاورين,30.039,31.27,منشأةناصر
El-Magd,المجد,31.085,30.658,مركز الرحمانية
El-Magd,المجد,30.532,30.628,مركز بدر
El-Mogaffaf,المجفف,30.7,31.497,مركز ديرب نجم
El-Mogayreh,المجيرح,28.754,34.437,قسم دهب
El-Mahager,المحاجر,30.041,31.287,منشأةناصر
El-Maharza,المحارزة,26.182,32.122,مركز أبو طشت
El-Mahasna,المحاسنة,26.28,31.839,مركز جرجا
El-Mahamda,المحامدة,26.504,31.697,مركز سوهاج
El-Mahamda El-Bahariya,المحامده البحريه,26.549,31.679,مركز سوهاج
El-Mahamid,المحاميد,25.563,32.449,مركز أرمنت
El-Mahamid El-Qibliya,المحاميد القبلية,25.548,32.46,مركز أرمنت
El-Mahgar,المحجر,30.034,31.259,قسم الخليفة
El-Mahras,المحرص,27.84,30.79,مركز ملوى
El-Mahraqa,المحرقة,24.597,32.945,مركز نصر
El-Mahrousa,المحروسة,31.233,29.974,قسم ثان الرمل
El-Mahrousa,المحروسه,26.013,32.761,مركز قنا
El-Mahsama El-Gedida,المحسمة الجديدة,30.549,32.095,مركز الاسماعيلية
El-Mahsama El-Qadima,المحسمة القديمة,30.549,32.043,مركز التل الكبير
El-Mahalawi,المحلاوى,31.22,31.848,مركز الجمالية
El-Mohammadi,المحمدي,30.075,31.278,قسم الوايلي
El-Mohammadia,المحمدية,30.557,31.314,مركز منيا القمح
El-Mohammadia,المحمديه,31.361,31.636,مركز كفر سعد
El-Mahmoudia,المحمودية,31.074,31.714,مركز دكرنس
El-Mahmoudia,المحمودية,30.667,31.522,مركز ههيا
El-Mahmoudia,المحمودية,28.895,30.831,مركز سمسطا
El-Mahmoudia,المحمودية,29.126,30.619,مركز أطسا
El-Mahmoudia,المحمودية,27.547,30.8,مركز ديروط
El-Makhadma,المخادمة,26.192,32.626,مركز قنا
El-Makhayid,المخايض,30.976,30.457,مركز دمنهور
El-Makhzan,المخزن,30.943,31.464,مركز السنبلاوين
El-Makhzan,المخزن,25.917,32.81,مركز قوص
El-Madamoud,المدامود,25.725,32.703,مركز شرطة طيبة
El-Modammar,المدمر,26.834,31.451,مركز طما
El-Madawwar,المدور,27.373,30.9,مركز منفلوط
El-Marab'in,المرابعين,31.171,31.003,مركز كفر الشيخ
El-Maraziq,المرازيق,29.811,31.254,مركز البدرشين
El-Marashda,المراشدة,26.092,32.473,مركز الوقف
El-Maraqi,المراقي,29.233,25.688,مركز سيوة
El-Marawna,المراونة,27.019,31.373,مركز البدارى
El-Marg El-Bahariya,المرج البحرية,30.159,31.342,قسم المرج
El-Marg El-Qibliya,المرج القبلية,30.149,31.331,قسم المرج
El-Markha,المرخاة,28.02,34.338,قسم شرم الشيخ
El-Marsa,المرساة,31.072,31.572,مركز دكرنس
El-Marghani,المرغني,31.191,29.904,قسم العطارين
El-Marmah Bahari,المرماح بحرى,29.099,31.093,قسم بنى سويف
El-Marmah Qibli,المرماح قبلى,29.097,31.103,قسم بنى سويف
El-Marwa,المروه,25.026,32.927,مركز أدفو
El-Marij,المريج,30.277,31.331,مركز شبين القناطر
El-Marih,المريح,30.958,32.717,قسم رمانة
El-Maris,المريس,25.655,32.57,مركز أرمنت
El-Mazar,المزار,31.205,29.884,قسم الجمرك
El-Mazalwa,المز الوة,26.536,31.671,مركز سوهاج
El-Mosa'ada,المساعدة,30.546,31.398,مركز منيا القمح
El-Masa'id,المساعيد,26.351,31.798,مركز العسيرات
El-Masaken El-Eqtesadiya,المساكن الاقتصادية,29.851,31.321,قسم حلوان
El-Masanda,المساندة,29.64,31.272,مركز العياط
El-Masawiya,المساوية,25.256,32.566,مركز إسنا
El-Masbat,المسبط,28.857,34.542,قسم دهب
El-Mostasmerin,المستثمرين,30.617,30.3,مركز ابوالمطامير
El-Mas'oudi,المسعودي,27.018,31.296,مركز أبوتيج
El-Masalla Sharq,المسلةشرق,31.202,29.904,قسم العطارين
El-Masalla Gharb wa Sherif Pasha,المسلةغربوشريفباشا,31.199,29.899,قسم العطارين
El-Mosallami,المسلمي,30.607,31.642,مركز ههيا
El-Mosallamiya,المسلمية,30.619,31.559,مركز الزقازيق
El-Masid,المسيد,30.51,31.674,مركز أبو حماد
El-Masid,المسيد,28.729,30.727,مركز العدوة
El-Masid,المسيد,25.898,32.789,مركز قوص
El-Masid El-Abyad,المسيد الأبيض,29.075,30.987,مركز أهناسيا
El-Masin,المسين,30.919,30.516,مركز الدلنجات
El-Masha'la,المشاعلة,30.802,31.734,مركز أبوكبير
El-Mashawda,المشاودة,26.277,31.902,مركز جرجا
El-Mashay'a Qibli,المشايعةقبلي,26.918,31.305,مركز الغنايم
El-Mashay'a Bahari,المشايعه بحرى,26.923,31.321,مركز الغنايم
El-Mashraba,المشربة,28.662,34.527,قسم دهب
El-Moshrek Qibli,المشركقبلي,29.384,30.561,مركز يوسف الصديق
El-Mashhad El-Husseini,المشهد الحسيني,30.049,31.265,قسم الجمالية
El-Mosalaha,المص الحة,26.063,32.283,مركز نجع حمادى
El-Masloub,المصلوب,29.333,31.184,مركز الواسطى
El-Masna',المصنع,30.377,29.764,قسم غرب النوبارية
El-Mosayleha,المصيلحة,30.549,31.032,مركز شبين الكوم
El-Madiq,المضيق,24.655,32.949,مركز نصر
El-Matar - El-Faranja,المطار - الفرنجة,28.814,34.024,قسم سانت كاترين
El-Matahara El-Bahariya,المطاهرة البحرية,28.039,30.823,مركز المنيا
El-Matahara El-Qibliya,المطاهرة القبلية,27.987,30.845,مركز ابو قرقاص
El-Mataw'a,المطاوعة,30.669,31.623,مركز ههيا
El-Mataw'a,المطاوعة,27.595,30.838,مركز ديروط
El-Matariya El-Bahariya,المطرية البحرية,30.119,31.311,قسم المطرية
El-Matariya El-Gharbiya,المطرية الغربية,30.122,31.306,قسم المطرية
El-Matariya El-Qibliya,المطرية القبلية,30.116,31.311,قسم المطرية
El-Motalla,المطلة,31.2,34.164,قسم رفح
El-Matmar,المطمر,27.108,31.327,مركز ساحل سليم
El-Moti'a,المطيعة,27.131,31.284,مركز أسيوط
El-Mazatli,المظاطلي,29.517,31.005,مركز طامية
El-Ma'abda El-Sharqiya,المعابدة الشرقية,27.337,31.011,مركز أبنوب
El-Ma'abda El-Gharbiya,المعابدة الغربية,27.332,31.0,مركز أبنوب
El-Ma'ali,المع الي,30.517,31.419,مركز منيا القمح
El-Mo'tamadiya,المعتمدية,31.033,31.075,مركز المحله الكبرى
El-Mo'tamadiya,المعتمدية,30.055,31.176,مركز كرداسة
El-Ma'dasa,المعدسة,30.037,31.276,منشأةناصر
El-Ma'diya,المعدية,31.286,30.243,مركز إدكو
El-Ma'raka,المعركة,30.683,30.496,مركز بدر
