shi_en,shi_ar,shi_lat,shi_lon,dis_en,dis_ar,slug,dis_lat,dis_lon,gov_en,gov_ar
Al-Damiyyin,الدميين,30.691,31.762,Faqus,مركز فاقوس,faqus-eg1312,30.749,31.896,Sharkia,الشرقية
Al-Danabiq,الدنابيق,31.053,31.454,El Mansora,مركز المنصورة,el-mansora-eg1203,31.053,31.467,Dakahlia,الدقهلية
Al-Danaqla,الدناقلة,26.369,31.772,Al-Minshat,مركز المنشأة,al-minshat-eg2607,26.464,31.756,Suhag,سوهاج
Al-Danawiya,الدناوية,29.72,31.243,Ayat,مركز العياط,ayat-eg2112,29.564,31.25,Giza,الجيزة
Al-Dahar,الدهار,27.468,33.593,Hurghada 2,قسم ثان الغردقة,hurghada-2-eg3108,27.745,33.08,Red Sea,البحر الأحمر
Al-Dahashna,الدهاشنة,30.472,31.549,Bilbis,مركز بلبيس,bilbis-eg1308,30.408,31.531,Sharkia,الشرقية
Al-Dahayma,الدهايمه,31.391,31.573,Kafr Sad,مركز كفر سعد,kafr-sad-eg1104,31.359,31.603,Damietta,دمياط
Al-Dahtamoun,الدهتمون,30.688,31.716,Abu Kabir,مركز أبوكبير,abu-kabir-eg1305,30.733,31.69,Sharkia,الشرقية
Al-Dahsa,الدهسة,26.043,32.151,Farshut,مركز فرشوط,farshut-eg2710,26.056,32.149,Qena,قنا
"Al-Dawagen 1, 2, 3","الدواجن 1, 2, 3",30.665,30.146,Abu-l-Matamir,مركز ابوالمطامير,abu-l-matamir-eg1803,30.773,30.144,Behera,البحيرة
Al-Dawakhliya,الدواخلية,30.975,31.132,El Mahalla El Kobra,مركز المحله الكبرى,el-mahalla-el-kobra-eg1607,31.017,31.13,Gharbia,الغربية
Al-Dawalta,الد والطة,29.121,31.069,Bani Swayf,مركز بنى سويف,bani-swayf-eg2202,29.098,31.042,Beni Suef,بنى سويف
Al-Dawawin,الدواوين,30.043,31.239,Abdin,قسم عابدين,abdin-eg0109,30.046,31.245,Cairo,القاهرة
Al-Dawawin,الدواوين,30.803,31.013,Tanta 1,قسم أول طنطا,tanta-1-eg1601,30.795,31.014,Gharbia,الغربية
Al-Domen,الدومين,31.334,31.471,Bilqas,مركز بلقاس,bilqas-eg1208,31.344,31.379,Dakahlia,الدقهلية
Al-Dawiya,الدوية,29.057,31.067,Bani Swayf,مركز بنى سويف,bani-swayf-eg2202,29.098,31.042,Beni Suef,بنى سويف
Al-Duweir,الدوير,26.964,31.337,Sidfa,مركز صدفا,sidfa-eg2511,26.943,31.38,Assiut,أسيوط
Al-Duweirat,الدويرات,26.426,31.776,Al-Minshat,مركز المنشأة,al-minshat-eg2607,26.464,31.756,Suhag,سوهاج
Al-Diabat,الديابات,26.588,31.789,Akhmim,مركز أخميم,akhmim-eg2604,26.551,31.715,Suhag,سوهاج
Al-Diabya,الديابية,29.294,31.205,Al Wasta,مركز الواسطى,al-wasta-eg2205,29.324,31.17,Beni Suef,بنى سويف
Al-Diabya,الديابية,25.503,32.505,Isna,مركز إسنا,isna-eg2705,25.365,32.52,Qena,قنا
Al-Didamoun,الديدمون,30.738,31.807,Faqus,مركز فاقوس,faqus-eg1312,30.749,31.896,Sharkia,الشرقية
Al-Deir,الدير,30.892,31.301,Aga,مركز أجا,aga-eg1204,30.895,31.313,Dakahlia,الدقهلية
Al-Deir,الدير,30.339,31.28,Tukh,مركز طوخ,tukh-eg1408,30.344,31.19,Kalyoubia,القليوبية
Al-Deir,الدير,25.346,32.568,Isna,مركز إسنا,isna-eg2705,25.365,32.52,Qena,قنا
Al-Deir,الدير,26.049,32.757,Qina,مركز قنا,qina-eg2702,26.163,32.578,Qena,قنا
Al-Deir al-Sharqi,الدير الشرقي,26.076,32.749,Qina,مركز قنا,qina-eg2702,26.163,32.578,Qena,قنا
Al-Disa,الديسة,31.043,31.676,Bany Abeed,مركز بنى عبيد,bany-abeed-eg1218,31.024,31.648,Dakahlia,الدقهلية
Al-Dismi,الديسمي,29.494,31.277,Saf,مركز الصف,saf-eg2111,29.62,31.305,Giza,الجيزة
Al-Diyoura,الديورة,30.01,31.24,Misr Al-Qadima,مصرالقديمة,misr-al-qadima-eg0106,30.006,31.242,Cairo,القاهرة
Al-Diyouniya,الديونية,30.654,31.322,Mit Ghamr,مركز ميت غمر,mit-ghamr-eg1213,30.708,31.338,Dakahlia,الدقهلية
Al-Diraa al-Bahari,الذراع البحرى,30.879,29.362,Al-Hammam,قسم الحمام,al-hammam-eg3302,29.804,29.418,Matrouh,مطروح
Al-Diraa al-Bahari,الذراع البحري,31.064,29.725,Al Amreia,قسم العامرية,al-amreia-eg0213,30.959,29.828,Alexandria,الاسكندرية
Al-Diraa al-Bahari,الذراع البحري,31.027,29.651,Burg al-Arab,قسم برج العرب,burg-al-arab-eg0214,30.901,29.494,Alexandria,الاسكندرية
Al-Rashda,الراشدة,25.832,28.945,A-Dakhla Oasis,مركز الوحات الداخلة,a-dakhla-oasis-eg3202,24.803,27.209,New Valley,الوادى الجديد
Al-Raheb,الراهب,30.527,31.032,Shibin al-Kum,مركز شبين الكوم,shibin-al-kum-eg1702,30.561,30.954,Menoufia,المنوفية
Al-Rahebin,الراهبين,30.983,31.221,Samannud,مركز سمنود,samannud-eg1610,30.95,31.221,Gharbia,الغربية
Al-Raba'iyyin,الرباعيين,30.778,31.594,Kafr Saqr,مركز كفر صقر,kafr-saqr-eg1313,30.837,31.675,Sharkia,الشرقية
Al-Rabadan,الربدان,30.965,30.737,Shubra Khit,مركز شبراخيت,shubra-khit-eg1810,31.003,30.679,Behera,البحيرة
Al-Rob',الربع,30.959,31.542,Tamy Al-Amdid,مركز تمى الأمديد,tamy-al-amdid-eg1216,30.947,31.594,Dakahlia,الدقهلية
Al-Rob' Souq al-Talāt,الربع_سوق التلات,31.563,31.104,Burullus,مركز البرلس,burullus-eg1503,31.521,31.273,Kafr El-Shikh,كفر الشيخ
Al-Rob'maya,الربعماية,30.567,31.382,Minya al-Qamh,مركز منيا القمح,minya-al-qamh-eg1314,30.507,31.369,Sharkia,الشرقية
Al-Rabi'a,الربيعة,31.087,31.81,Dikirnis,مركز دكرنس,dikirnis-eg1209,31.093,31.78,Dakahlia,الدقهلية
Al-Ragabya,الرجابية,30.745,31.156,Santa,مركز السنطة,santa-eg1604,30.773,31.119,Gharbia,الغربية
Al-Ragdiya,الرجدية,30.841,31.052,Tanta,مركز طنطا,tanta-eg1603,30.809,30.932,Gharbia,الغربية
Al-Rehab wa al-Mustathmeroun,الرحاب و المستثمرون,30.063,31.505,New Cairo-2,قسم ثان القاهرة الجديدة,new-cairo-2-eg0138,30.074,31.582,Cairo,القاهرة
Al-Rahamna,الرحامنة,31.289,31.757,Fariskur,مركز فارسكور,fariskur-eg1103,31.31,31.733,Damietta,دمياط
Al-Rahba,الرحبة,28.646,34.057,Sant Katrin,قسم سانت كاترين,sant-katrin-eg3504,28.66,34.052,South Sinai,جنوب سيناء
Al-Rahba wa al-Gibali,الرحبة والجبالى,29.083,31.085,Bani Swayf,قسم بنى سويف,bani-swayf-eg2201,29.077,31.097,Beni Suef,بنى سويف
Al-Rahmaniya,الرحمانية,30.641,31.369,Mit Ghamr,مركز ميت غمر,mit-ghamr-eg1213,30.708,31.338,Dakahlia,الدقهلية
Al-Rahmaniya,الرحمانية,30.652,31.711,Abu Kabir,مركز أبوكبير,abu-kabir-eg1305,30.733,31.69,Sharkia,الشرقية
Al-Rahmaniya,الرحمانية,27.618,30.826,Markz Dir Mawas,مركز دير مواس,markz-dir-mawas-eg2407,27.655,30.79,Menia,المنيا
Al-Rahmaniya Qibli,الرحمانيةقبلي,26.076,32.292,Nag Hammadi,مركز نجع حمادى,nag-hammadi-eg2708,26.085,32.297,Qena,قنا
Al-Rakha',الرخاء,28.166,30.574,Markz Samalut,مركز سمالوط,markz-samalut-eg2408,28.285,30.629,Menia,المنيا
Al-Ridisia Bahari,الرديسية بحري,24.987,32.902,Adfu,مركز أدفو,adfu-eg2803,25.061,32.957,Aswan,أسوان
Al-Rizqa,الرزقة,31.056,30.322,Abu Hummus,مركز ابوحمص,abu-hummus-eg1804,31.106,30.31,Behera,البحيرة
Al-Rizqa,الرزقة,26.117,32.152,Abu Tisht,مركز أبو طشت,abu-tisht-eg2703,26.13,32.086,Qena,قنا
Al-Riziqat,الرزيقات,25.616,32.454,Armant,مركز أرمنت,armant-eg2704,25.612,32.492,Qena,قنا
Al-Riziqat al-Qibliya,الرزيقات القبلية,25.585,32.455,Armant,مركز أرمنت,armant-eg2704,25.612,32.492,Qena,قنا
Al-Rizimat,الرزيمات,30.948,30.256,Hush Isa,مركز حوش عيسى,hush-isa-eg1808,30.891,30.346,Behera,البحيرة
Al-Rashayda,الرشايدة,26.372,31.787,Al Usayrat,مركز العسيرات,al-usayrat-eg2617,26.401,31.815,Suhag,سوهاج
Al-Rasif,الرصيف,31.414,30.925,Riyad,مركز الرياض,riyad-eg1512,31.321,30.92,Kafr El-Shikh,كفر الشيخ
Al-Rida,الرضا,30.799,30.011,Abu-l-Matamir,مركز ابوالمطامير,abu-l-matamir-eg1803,30.773,30.144,Behera,البحيرة
Al-Raghama,الرغامة,31.289,30.948,Riyad,مركز الرياض,riyad-eg1512,31.321,30.92,Kafr El-Shikh,كفر الشيخ
Al-Rafsha,الرفشة,26.105,32.075,Abu Tisht,مركز أبو طشت,abu-tisht-eg2703,26.13,32.086,Qena,قنا
Al-Raqaqna,الرقاقنة,26.344,31.784,Girga,مركز جرجا,girga-eg2610,26.307,31.867,Suhag,سوهاج
Al-Raqaba,الرقبة,24.377,32.897,Daraw,مركز دراو,daraw-eg2806,24.326,33.001,Aswan,أسوان
Al-Raqqa al-Bahariya,الرقة البحرية,29.433,31.21,Atfeh,مركز أطفيح,atfeh-eg2115,29.343,31.25,Giza,الجيزة
Al-Raqqa al-Gharbiya,الرقة الغربية,29.431,31.188,Ayat,مركز العياط,ayat-eg2112,29.564,31.25,Giza,الجيزة
Al-Raqqa al-Qibliya,الرقة القبلية,29.411,31.236,Atfeh,مركز أطفيح,atfeh-eg2115,29.343,31.25,Giza,الجيزة
Al-Rikabiya,الركابية,31.414,31.592,Kafr Sad,مركز كفر سعد,kafr-sad-eg1104,31.359,31.603,Damietta,دمياط
Al-Ramadi Bahari,الرماديبحري,24.879,32.86,Adfu,مركز أدفو,adfu-eg2803,25.061,32.957,Aswan,أسوان
Al-Ramadi Qibli,الرماديقبلي,24.756,32.918,Adfu,مركز أدفو,adfu-eg2803,25.061,32.957,Aswan,أسوان
Al-Ramali,الرم الي,30.598,31.145,Quwisna,مركز قويسنا,quwisna-eg1708,30.56,31.163,Menoufia,المنوفية
Al-Ramtha,الرمثة,29.092,33.42,Abu Radis,قسم أبو رديس,abu-radis-eg3503,29.049,33.598,South Sinai,جنوب سيناء
Al-Ramziya,الرمزية,30.866,31.576,Sinbillawin,مركز السنبلاوين,sinbillawin-eg1205,30.883,31.513,Dakahlia,الدقهلية
Al-Ramla,الرملة,31.277,31.374,Bilqas,مركز بلقاس,bilqas-eg1208,31.344,31.379,Dakahlia,الدقهلية
Al-Ramla,الرملة,30.434,31.166,Banha,مركز بنها,banha-eg1402,30.443,31.248,Kalyoubia,القليوبية
Al-Ramla,الرملة,31.438,25.176,Salloum,قسم السلوم,salloum-eg3303,30.646,25.255,Matrouh,مطروح
Al-Ramla - Wadi al-Bida',الرملة - وادى البدع,29.041,33.236,Abu Radis,قسم أبو رديس,abu-radis-eg3503,29.049,33.598,South Sinai,جنوب سيناء
Al-Ramli,الرملي,30.054,31.257,Muski,قسم الموسكي,muski-eg0110,30.05,31.252,Cairo,القاهرة
Al-Ramliya,الرملية,30.888,31.045,Tanta,مركز طنطا,tanta-eg1603,30.809,30.932,Gharbia,الغربية
Al-Rahawi,الرهاوي,30.199,31.037,Imbaba,مركز إمبابة,imbaba-eg2113,30.22,30.963,Giza,الجيزة
Al-Rawateb,الرواتب,26.149,32.077,Abu Tisht,مركز أبو طشت,abu-tisht-eg2703,26.13,32.086,Qena,قنا
Al-Rouby,الروبى,28.331,30.62,Markz Samalut,مركز سمالوط,markz-samalut-eg2408,28.285,30.629,Menia,المنيا
Al-Roubyat,الروبيات,29.426,31.006,Tamya,مركز طامية,tamya-eg2306,29.467,30.982,Fayoum,الفيوم
Al-Rawda,الرودة,31.215,31.977,Manzala,مركز المنزلة,manzala-eg1207,31.153,31.958,Dakahlia,الدقهلية
Al-Rawda,الروضة,30.911,31.418,Sinbillawin,مركز السنبلاوين,sinbillawin-eg1205,30.883,31.513,Dakahlia,الدقهلية
Al-Rawda,الروضة,31.136,31.414,Talkha,مركز طلخا,talkha-eg1211,31.109,31.383,Dakahlia,الدقهلية
Al-Rawda,الروضة,30.461,31.562,Bilbis,مركز بلبيس,bilbis-eg1308,30.408,31.531,Sharkia,الشرقية
Al-Rawda,الروضة,30.672,31.824,Faqus,مركز فاقوس,faqus-eg1312,30.749,31.896,Sharkia,الشرقية
Al-Rawda,الروضة,31.368,30.688,Sidi Salim,مركز سيدى سالم,sidi-salim-eg1507,31.31,30.738,Kafr El-Shikh,كفر الشيخ
Al-Rawda,الروضة,30.667,31.073,Birkat Al-Sab,مركز بركة السبع,birkat-al-sab-eg1706,30.651,31.108,Menoufia,المنوفية
Al-Rawda,الروضة,29.458,30.994,Tamya,مركز طامية,tamya-eg2306,29.467,30.982,Fayoum,الفيوم
Al-Rawda,الروضة,28.38,30.684,Markz Samalut,مركز سمالوط,markz-samalut-eg2408,28.285,30.629,Menia,المنيا
Al-Rawda,الروضة,28.447,30.689,Markz Matay,مركز مطاى,markz-matay-eg2409,28.431,30.71,Menia,المنيا
Al-Rawda,الروضة,27.794,30.846,Markz Mallawi,مركز ملوى,markz-mallawi-eg2412,27.775,30.801,Menia,المنيا
Al-Rawda,الروضة,31.053,33.423,Bir Al-Abd,قسم بئر العبد,bir-al-abd-eg3405,30.69,33.102,North Sinai,شمال سيناء
Al-Rawda wa al-Miqyas,الروضة والمقياس,30.012,31.226,Misr Al-Qadima,مصرالقديمة,misr-al-qadima-eg0106,30.006,31.242,Cairo,القاهرة
Al-Rawqa,الروقة,30.953,30.559,Itay Al-Barud,مركز إيتاى البارود,itay-al-barud-eg1807,30.886,30.656,Behera,البحيرة
Al-Ruweigat,الرويجات,27.045,31.418,Sahil Silim,مركز ساحل سليم,sahil-silim-eg2507,27.093,31.349,Assiut,أسيوط
Al-Ruweheb,الرويهب,26.487,31.747,Al-Minshat,مركز المنشأة,al-minshat-eg2607,26.464,31.756,Suhag,سوهاج
Al-Riyah,الرياح,30.474,31.183,Banha,قسم بنها,banha-eg1401,30.466,31.19,Kalyoubia,القليوبية
Al-Riyah wa Yatba'ha al-Ballah,الرياحويتبعها البلاح,30.781,32.226,"Qantara Gharb, al-",مركز القنطرة,qantara-gharb-al-eg1906,30.742,32.245,Ismailia,الإسماعيلية
Al-Riyadh,الرياض,31.378,31.706,Kafr Sad,مركز كفر سعد,kafr-sad-eg1104,31.359,31.603,Damietta,دمياط
Al-Riyadh,الرياض,31.156,31.74,Minya Al-Nasr,مركز منية النصر,minya-al-nasr-eg1214,31.154,31.707,Dakahlia,الدقهلية
Al-Riyadh,الرياض,30.645,31.392,Zaqaziq,مركز الزقازيق,zaqaziq-eg1303,30.587,31.581,Sharkia,الشرقية
Al-Riyadh,الرياض,30.699,31.746,Abu Kabir,مركز أبوكبير,abu-kabir-eg1305,30.733,31.69,Sharkia,الشرقية
Al-Riyadh,الرياض,30.65,31.241,Zifta,مركز زفتى,zifta-eg1609,30.728,31.215,Gharbia,الغربية
Al-Riyadh,الرياض,29.218,31.148,Nasir,مركز ناصر,nasir-eg2209,29.187,31.078,Beni Suef,بنى سويف
Al-Riyadh,الرياض,27.521,30.734,Dayrut,مركز ديروط,dayrut-eg2510,27.537,30.782,Assiut,أسيوط
Al-Riyada,الرياضة,31.214,29.934,Sidi Gabir,قسم سيدى جابر,sidi-gabir-eg0203,31.216,29.949,Alexandria,الاسكندرية
Al-Rayayna,الرياينة,31.012,30.953,Qutur,مركز قطور,qutur-eg1611,30.971,30.97,Gharbia,الغربية
Al-Rayayna,الرياينة,25.63,32.478,Armant,مركز أرمنت,armant-eg2704,25.612,32.492,Qena,قنا
Al-Rayayna al-Mu'allaq,الرياينة المعلق,26.888,31.413,Tama,مركز طما,tama-eg2613,26.874,31.422,Suhag,سوهاج
Al-Rayayna bil-Hager,الرياينةب الحاجر,26.722,31.637,Saqulta,مركز ساقلته,saqulta-eg2612,26.692,31.663,Suhag,سوهاج
Al-Rayayna bil-Katkata,الرياينةب الكتكاتة,26.703,31.649,Saqulta,مركز ساقلته,saqulta-eg2612,26.692,31.663,Suhag,سوهاج
Al-Rayhani,الريحانى,30.055,31.249,Al Azbakiyya,قسم الأزبكية,al-azbakiyya-eg0113,30.06,31.246,Cairo,القاهرة
Al-Raydaniya,الريدانية,31.084,31.459,El Mansora,مركز المنصورة,el-mansora-eg1203,31.053,31.467,Dakahlia,الدقهلية
Al-Rirmoun,الريرمون,27.761,30.858,Markz Mallawi,مركز ملوى,markz-mallawi-eg2412,27.775,30.801,Menia,المنيا
Al-Raysan,الريسان,30.539,33.788,Al-Hasna,قسم الحسنة,al-hasna-eg3406,30.288,33.542,North Sinai,شمال سيناء
Al-Rayna,الرينة,29.933,32.836,Ras Sidr,قسم رأس سدر,ras-sidr-eg3502,29.599,33.317,South Sinai,جنوب سيناء
Al-Ra'isiya,الرئيسية,26.053,32.353,Nag Hammadi,مركز نجع حمادى,nag-hammadi-eg2708,26.085,32.297,Qena,قنا
Al-Ra'isiya,الرئيسيه,24.906,32.987,Adfu,مركز أدفو,adfu-eg2803,25.061,32.957,Aswan,أسوان
Al-Zara,الزارة,26.43,31.787,Al-Minshat,مركز المنشأة,al-minshat-eg2607,26.464,31.756,Suhag,سوهاج
Al-Zawya,الزاوية,27.072,31.215,Assuit,مركز أسيوط,assuit-eg2503,27.117,31.232,Assiut,أسيوط
Al-Zawya al-Hamra,الزاوية الحمراء,30.726,31.778,Faqus,مركز فاقوس,faqus-eg1312,30.749,31.896,Sharkia,الشرقية
Al-Zawya al-Hamra al-Balad,الزاوية الحمراء البلد,30.087,31.266,Al Sharabiyya,قسم الشرابية,al-sharabiyya-eg0118,30.082,31.264,Cairo,القاهرة
Al-Zawya al-Hamra Masaken,الزاوية الحمراءمساكن,30.095,31.27,Zawiyya Al-Hamra,قسم الزاويةالحمراء,zawiyya-al-hamra-eg0131,30.098,31.27,Cairo,القاهرة
Al-Zawya al-Khadra,الزاوية الخضراء,28.88,30.895,Al Fashn,مركز الفشن,al-fashn-eg2204,28.809,30.827,Beni Suef,بنى سويف
Al-Zawya al-Khadra,الزاوية الخضراء,29.407,30.846,Sinuras,مركز سنورس,sinuras-eg2305,29.441,30.815,Fayoum,الفيوم
Al-Zabou,الزبو,28.477,28.877,Bahariya Oasis,قسم الواحاتالبحرية,bahariya-oasis-eg2114,28.452,28.836,Giza,الجيزة
Al-Zarabi,الزرابي,29.047,31.074,Bani Swayf,مركز بنى سويف,bani-swayf-eg2202,29.098,31.042,Beni Suef,بنى سويف
Al-Zarabi,الزرابي,26.993,31.274,Abu Tig,مركز أبوتيج,abu-tig-eg2505,27.037,31.289,Assiut,أسيوط
Al-Zara'ib,الزرائب,26.135,32.136,Abu Tisht,مركز أبو طشت,abu-tisht-eg2703,26.13,32.086,Qena,قنا
Al-Zarzamoun,الزرزمون,30.648,31.618,Hihya,مركز ههيا,hihya-eg1315,30.652,31.617,Sharkia,الشرقية
Al-Zuriqi,الزريقي,30.935,31.442,Sinbillawin,مركز السنبلاوين,sinbillawin-eg1205,30.883,31.513,Dakahlia,الدقهلية
Al-Za'atra,الزعاترة,31.194,31.606,Zarqa,مركز الزرقا,zarqa-eg1107,31.209,31.649,Damietta,دمياط
Al-Za'faran,الزعفران,30.077,31.292,Al Wayli,قسم الوايلي,al-wayli-eg0122,30.072,31.283,Cairo,القاهرة
Al-Za'faran,الزعفران,31.271,31.155,Al Hamul,مركز الحامول,al-hamul-eg1511,31.388,31.075,Kafr El-Shikh,كفر الشيخ
Al-Za'farana wa Tashmal al-Adira,الزعفرانةوتشمل الأديرة,29.148,32.622,Ras Gharib,قسم رأس غارب,ras-gharib-eg3105,28.506,32.377,Red Sea,البحر الأحمر
Al-Za'farani,الزعفراني,30.702,30.708,Kum Hamada,مركز كوم حمادة,kum-hamada-eg1813,30.654,30.774,Behera,البحيرة
Al-Zughayrat,الزغيرات,31.469,26.541,Marsa Matruh,قسم مرسى مطروح,marsa-matruh-eg3301,30.022,26.997,Matrouh,مطروح
Al-Zaqaziq al-Bahariya,الزقازيق البحريه,30.609,31.527,Zaqaziq 2,قسم ثان الزقازيق,zaqaziq-2-eg1302,30.601,31.519,Sharkia,الشرقية
Al-Zaqaziq al-Qibliya,الزقازيق القبليه,30.598,31.516,Zaqaziq 2,قسم ثان الزقازيق,zaqaziq-2-eg1302,30.601,31.519,Sharkia,الشرقية
Al-Zammar,الزمار,30.979,31.491,El Mansora,مركز المنصورة,el-mansora-eg1203,31.053,31.467,Dakahlia,الدقهلية
Al-Zanqour,الزنقور,26.274,31.852,Girga,مركز جرجا,girga-eg2610,26.307,31.867,Suhag,سوهاج
Al-Zankaloun,الزنكلون,30.577,31.445,Zaqaziq,مركز الزقازيق,zaqaziq-eg1303,30.587,31.581,Sharkia,الشرقية
Al-Zahhar,الزهار,30.06,31.242,Al Azbakiyya,قسم الأزبكية,al-azbakiyya-eg0113,30.06,31.246,Cairo,القاهرة
Al-Zahayra,الزهايرة,30.916,31.492,Sinbillawin,مركز السنبلاوين,sinbillawin-eg1205,30.883,31.513,Dakahlia,الدقهلية
Al-Zahraa,الزهراء,29.941,31.386,Tura,قسم طره,tura-eg0105,29.939,31.38,Cairo,القاهرة
Al-Zahraa,الزهراء,31.239,31.443,Bilqas,مركز بلقاس,bilqas-eg1208,31.344,31.379,Dakahlia,الدقهلية
Al-Zahraa,الزهراء,30.52,31.547,Zaqaziq,مركز الزقازيق,zaqaziq-eg1303,30.587,31.581,Sharkia,الشرقية
Al-Zahraa - Mit Abu Ghalib Sabiqan,الزهراء - ميت ابو غالب سابقا,31.305,31.657,Kafr Sad,مركز كفر سعد,kafr-sad-eg1104,31.359,31.603,Damietta,دمياط
Al-Zahraa wa Masakin Al-Hilmiya,الزهراءومساكن الحلمية,30.124,31.339,Ain Shams,قسم عينشمس,ain-shams-eg0130,30.123,31.33,Cairo,القاهرة
Al-Zuhur,الزهور,31.266,32.266,Al-Zohour,قسم الزهور,al-zohour-eg0307,31.266,32.266,Port Said,بورسعيد
Al-Zahwiyyin,الزهويين,30.267,31.275,Shibin al-Qanatir,مركز شبين القناطر,shibin-al-qanatir-eg1405,30.296,31.307,Kalyoubia,القليوبية
Al-Zuhayri,الزهيرى,31.032,31.633,Bany Abeed,مركز بنى عبيد,bany-abeed-eg1218,31.024,31.648,Dakahlia,الدقهلية
Al-Zawatna Al-Bahariya,الزواتنة البحرية,26.292,31.9,Girga,مركز جرجا,girga-eg2610,26.307,31.867,Suhag,سوهاج
Al-Zawatna Al-Qibliya,الزواتنة القبلية,26.3,31.936,Girga,مركز جرجا,girga-eg2610,26.307,31.867,Suhag,سوهاج
Al-Zawamil,الزوامل,30.361,31.431,Bilbis,مركز بلبيس,bilbis-eg1308,30.408,31.531,Sharkia,الشرقية
Al-Zawawa,الزواوعة,30.713,34.033,Shaykh Zuwayd,قسم الشيخ زويد,shaykh-zuwayd-eg3408,30.918,33.971,North Sinai,شمال سيناء
Al-Zawayda,الزوايدة,25.975,32.764,Naqada,مركز نقادة,naqada-eg2709,25.89,32.711,Qena,قنا
Al-Zawayda,الزوايدة,31.537,26.225,Sidi Barani,قسم سيدى برانى,sidi-barani-eg3305,30.656,25.886,Matrouh,مطروح
Al-Zawra,الزورة,28.611,30.673,Markz Maghagha,مركز مغاغة,markz-maghagha-eg2410,28.641,30.794,Menia,المنيا
Al-Zawk Al-Sharqiya,الزوك الشرقية,26.447,31.752,Al-Minshat,مركز المنشأة,al-minshat-eg2607,26.464,31.756,Suhag,سوهاج
Al-Zawk Al-Gharbiya,الزوك الغربية,26.44,31.732,Al-Minshat,مركز المنشأة,al-minshat-eg2607,26.464,31.756,Suhag,سوهاج
Al-Zumrutiya,الزومروتية,30.586,31.315,Kafr Shukr,مركز كفر شكر,kafr-shukr-eg1411,30.554,31.275,Kalyoubia,القليوبية
Al-Zayyat,الزيات,25.3,30.569,Al-Kharga Oasis,مركز الواحات الخارجة,al-kharga-oasis-eg3201,24.964,31.013,New Valley,الوادى الجديد
Al-Zayyat,الزيات,31.143,27.632,Marsa Matruh,قسم مرسى مطروح,marsa-matruh-eg3301,30.022,26.997,Matrouh,مطروح
Al-Zaytoun,الزيتون,29.175,31.151,Nasir,مركز ناصر,nasir-eg2209,29.187,31.078,Beni Suef,بنى سويف
Al-Zaytoun,الزيتون,31.073,28.111,Daba,مركز الضبعة,daba-eg3304,29.463,28.243,Matrouh,مطروح
Al-Zaytoun Al-Bahariya,الزيتون البحرية,30.109,31.318,Al Zaytun,قسم الزيتون,al-zaytun-eg0124,30.1,31.301,Cairo,القاهرة
Al-Zaytoun Al-Sharqiya,الزيتون الشرقية,30.102,31.313,Al Zaytun,قسم الزيتون,al-zaytun-eg0124,30.1,31.301,Cairo,القاهرة
Al-Zaytoun Al-Gharbiya,الزيتون الغربية,30.109,31.309,Al Zaytun,قسم الزيتون,al-zaytun-eg0124,30.1,31.301,Cairo,القاهرة
Al-Zaytoun Al-Qibliya,الزيتون القبلية,30.094,31.303,Al Zaytun,قسم الزيتون,al-zaytun-eg0124,30.1,31.301,Cairo,القاهرة
Al-Zaydiya,الزيدية,30.104,31.14,Auseem,مركز أوسيم,auseem-eg2116,30.132,31.142,Giza,الجيزة
Al-Zira,الزيرة,27.036,31.259,Abu Tig,مركز أبوتيج,abu-tig-eg2505,27.037,31.289,Assiut,أسيوط
Al-Zayni,الزيني,31.039,30.308,Abu Hummus,مركز ابوحمص,abu-hummus-eg1804,31.106,30.31,Behera,البحيرة
Al-Zayniya Bahari,الزينيةبحري,25.757,32.69,Tiba police station,مركز شرطة طيبة,tiba-police-station-eg2903,25.738,32.703,Luxor,مدينة الأقصر
Al-Zayniya Qibli,الزينيةقبلي,25.746,32.677,Tiba police station,مركز شرطة طيبة,tiba-police-station-eg2903,25.738,32.703,Luxor,مدينة الأقصر
Al-Saha,الساحة,30.047,31.246,Abdin,قسم عابدين,abdin-eg0109,30.046,31.245,Cairo,القاهرة
Al-Sahel,الساحل,30.091,31.24,Al Sahil,قسم الساحل,al-sahil-eg0121,30.092,31.247,Cairo,القاهرة
Al-Sahel,الساحل,30.406,31.111,Banha,مركز بنها,banha-eg1402,30.443,31.248,Kalyoubia,القليوبية
Al-Sahel,الساحل,31.323,30.416,Rashid,مركز رشيد,rashid-eg1809,31.379,30.375,Behera,البحيرة
Al-Sahel Al-Shamali,الساحل الشمالى,30.935,29.475,North Coast,الساحل الشمالى,north-coast-eg0218,30.935,29.475,Alexandria,الاسكندرية
Al-Sahel Al-Shamali,الساحل الشمالى,30.921,28.824,Alamn,قسم مارينا العلمين السياحية,alamn-eg3307,30.782,28.74,Matrouh,مطروح
Al-Sahel Al-Bahari_Baloush,الساحل البحري_بلوش,31.591,31.096,Burullus,مركز البرلس,burullus-eg1503,31.521,31.273,Kafr El-Shikh,كفر الشيخ
Al-Sahel Al-Qibli_Al-Wahhabiya,الساحل القبلي_ الوهابية,31.571,31.082,Burullus,مركز البرلس,burullus-eg1503,31.521,31.273,Kafr El-Shikh,كفر الشيخ
Al-Sahel Bahari,الساحل بحري,26.277,31.973,Al-Balyana,مركز البلينا,al-balyana-eg2605,26.241,31.944,Suhag,سوهاج
