neighborhood_en,neighborhood_ar,lat,lon,district_id,district_en,district_ar,governorate_en,governorate_ar
El-Taranah,الطرانة,30.436,30.833,sadat-city-eg1711,Sadat City,مركز السادات,Menoufia,المنوفية
El-Tarabiyah,الطربية,30.836,28.251,daba-eg3304,Daba,مركز الضبعة,Matrouh,مطروح
El-Tarh,الطرح,31.26,30.106,kafr-al-dawwar-eg1812,Kafr Al-Dawwar,مركز كفر الدوار,Behera,البحيرة
El-Tarhah,الطرحة,31.352,31.746,fariskur-eg1103,Fariskur,مركز فارسكور,Damietta,دمياط
El-Tarfayah,الطرفاية,29.828,31.277,badrashain-eg2110,Badrashain,مركز البدرشين,Giza,الجيزة
El-Tarfayah,الطرفاية,31.559,25.781,sidi-barani-eg3305,Sidi Barani,قسم سيدى برانى,Matrouh,مطروح
El-Tarfah,الطرفة,28.548,34.088,sant-katrin-eg3504,Sant Katrin,قسم سانت كاترين,South Sinai,جنوب سيناء
El-Tulayhat,الطليحات,26.742,31.455,guhayna-al-gharbiyya-eg2611,Guhayna Al-Gharbiyya,مركز جهينة الغربية,Suhag,سوهاج
El-Tammar,الطمار,30.056,31.256,muski-eg0110,Muski,قسم الموسكي,Cairo,القاهرة
El-Tawabiyah,الطوابية,27.227,31.126,alfath-eg2513,Alfath,مركز الفتح,Assiut,أسيوط
El-Tawabiyah,الطوابية,26.144,32.573,qina-eg2702,Qina,مركز قنا,Qena,قنا
El-Tawayel El-Sharqiyah,الطوايل الشرقية,26.654,31.666,saqulta-eg2612,Saqulta,مركز ساقلته,Suhag,سوهاج
El-Tawayel El-Gharbiyah,الطوايل الغربية,26.649,31.656,saqulta-eg2612,Saqulta,مركز ساقلته,Suhag,سوهاج
El-Toud,الطود,30.809,30.63,kum-hamada-eg1813,Kum Hamada,مركز كوم حمادة,Behera,البحيرة
El-Toud,الطود,25.602,32.549,luxor-eg2902,Luxor,مركز الأقصر,Luxor,مدينة الأقصر
El-Tounab,الطوناب,24.876,32.887,adfu-eg2803,Adfu,مركز أدفو,Aswan,أسوان
El-Tuwayrat,الطويرات,26.113,32.737,qina-eg2702,Qina,مركز قنا,Qena,قنا
El-Tuwaysah,الطويسة,24.384,32.919,daraw-eg2806,Daraw,مركز دراو,Aswan,أسوان
El-Tawil,الطويل,31.133,33.778,el-arish-1-eg3401,El Arish 1,قسم أول العريش,North Sinai,شمال سيناء
El-Tawilah,الطويلة,31.114,31.419,talkha-eg1211,Talkha,مركز طلخا,Dakahlia,الدقهلية
El-Tawilah,الطويلة,30.644,31.735,faqus-eg1312,Faqus,مركز فاقوس,Sharkia,الشرقية
El-Taybah,الطيبة,30.676,31.444,zaqaziq-eg1303,Zaqaziq,مركز الزقازيق,Sharkia,الشرقية
El-Taybah,الطيبة,28.278,30.626,markz-samalut-eg2408,Markz Samalut,مركز سمالوط,Menia,المنيا
El-Taybah,الطيبة,31.125,31.325,nebro-eg1221,Nebro,مركز نبروة,Dakahlia,الدقهلية
El-Tayriyah,الطيرية,30.632,30.779,kum-hamada-eg1813,Kum Hamada,مركز كوم حمادة,Behera,البحيرة
El-Dhafariyah,الظافريه,25.993,32.823,qift-eg2711,Qift,مركز قفط,Qena,قنا
El-Dhahir,الظاهر,30.063,31.256,al-zahir-eg0117,Al Zahir,قسم الظاهر,Cairo,القاهرة
El-Zaheriya wa Ezbet El-Safih,الظاهريةوعزبة الصفيح,31.231,29.963,kesm-than-al-raml-eg0217,Kesm than Al Raml,قسم ثان الرمل,Alexandria,الاسكندرية
El-Zaheer,الظهير,30.979,33.961,shaykh-zuwayd-eg3408,Shaykh Zuwayd,قسم الشيخ زويد,North Sinai,شمال سيناء
El-Aareen,العارين,30.753,31.756,faqus-eg1312,Faqus,مركز فاقوس,Sharkia,الشرقية
El-Aat,العاط,28.001,34.424,sharm-el-sheikh-eg3505,Sharm el-Sheikh,قسم شرم الشيخ,South Sinai,جنوب سيناء
El-Aaqsa wa Bakos,العاقصةوباكوس,31.239,29.968,kesm-than-al-raml-eg0217,Kesm than Al Raml,قسم ثان الرمل,Alexandria,الاسكندرية
El-Aaqoula,العاقولة,31.245,30.912,riyad-eg1512,Riyad,مركز الرياض,Kafr El-Shikh,كفر الشيخ
El-Aaly,الع الي,31.158,30.196,kafr-al-dawwar-eg1812,Kafr Al-Dawwar,مركز كفر الدوار,Behera,البحيرة
El-Aamra,العامرة,31.11,31.868,manzala-eg1207,Manzala,مركز المنزلة,Dakahlia,الدقهلية
El-Aamra,العامرة,30.492,30.985,minuf-eg1709,Minuf,مركز منوف,Menoufia,المنوفية
El-Aamry,العامرى,26.912,31.352,al-ghanayem-eg2508,Al-Ghanayem,مركز الغنايم,Assiut,أسيوط
El-Aamriya,العامرية,30.99,31.092,el-mahalla-el-kobra-eg1607,El Mahalla El Kobra,مركز المحله الكبرى,Gharbia,الغربية
El-Aamriya,العامرية,29.528,31.218,ayat-eg2112,Ayat,مركز العياط,Giza,الجيزة
El-Aamriya El-Sharqiya,العامرية الشرقية,31.285,30.505,rashid-eg1809,Rashid,مركز رشيد,Behera,البحيرة
El-Aamriya El-Gharbiya,العامرية الغربية,31.284,30.484,rashid-eg1809,Rashid,مركز رشيد,Behera,البحيرة
El-Aamriya Sharq,العامرية شرق,31.009,29.816,al-amreia-eg0213,Al Amreia,قسم العامرية,Alexandria,الاسكندرية
El-Aamriya Gharb,العامرية غرب,31.017,29.79,al-amreia-eg0213,Al Amreia,قسم العامرية,Alexandria,الاسكندرية
El-Aamriya,العامريه,30.293,31.113,qanatir-al-khayriyya-eg1404,Qanatir Al-Khayriyya,مركز القناطر الخيرية,Kalyoubia,القليوبية
El-Aamoud,العامود,31.184,29.892,mina-al-basal-eg0211,Mina Al-Basal,قسم مينا البصل,Alexandria,الاسكندرية
El-Aaysha,العايشة,30.745,31.184,zifta-eg1609,Zifta,مركز زفتى,Gharbia,الغربية
El-Abadla,العبادلة,30.365,31.158,tukh-eg1408,Tukh,مركز طوخ,Kalyoubia,القليوبية
El-Abbasy,العباسى,30.586,32.244,ismailiyya-1-eg1901,Ismailiyya 1,قسم أول الاسماعيلية,Ismailia,الإسماعيلية
El-Abbasiya,العباسية,30.504,31.759,abu-hammad-eg1304,Abu Hammad,مركز أبو حماد,Sharkia,الشرقية
El-Abbasiya,العباسية,31.33,30.97,riyad-eg1512,Riyad,مركز الرياض,Kafr El-Shikh,كفر الشيخ
El-Abbasiya,العباسية,24.432,32.971,kum-umbu-eg2804,Kum Umbu,مركز كوم امبو,Aswan,أسوان
El-Abbasiya El-Bahariya,العباسية البحرية,30.073,31.283,al-wayli-eg0122,Al Wayli,قسم الوايلي,Cairo,القاهرة
El-Abbasiya El-Gedida,العباسية الجديدة,28.584,30.801,markz-maghagha-eg2410,Markz Maghagha,مركز مغاغة,Menia,المنيا
El-Abbasiya El-Sharqiya,العباسية الشرقية,30.064,31.275,al-wayli-eg0122,Al Wayli,قسم الوايلي,Cairo,القاهرة
El-Abbasiya El-Gharbiya,العباسية الغربية,30.071,31.281,al-wayli-eg0122,Al Wayli,قسم الوايلي,Cairo,القاهرة
El-Abbasiya El-Qibliya,العباسية القبلية,30.068,31.278,al-wayli-eg0122,Al Wayli,قسم الوايلي,Cairo,القاهرة
El-Abbasiya,العباسيه,31.381,31.647,kafr-sad-eg1104,Kafr Sad,مركز كفر سعد,Damietta,دمياط
El-Abd,العبد,30.014,31.339,al-khalifa-eg0108,Al Khalifa,قسم الخليفة,Cairo,القاهرة
El-Absy,العبسي,30.421,31.497,bilbis-eg1308,Bilbis,مركز بلبيس,Sharkia,الشرقية
El-Obaidiya,العبيدية,31.344,31.722,fariskur-eg1103,Fariskur,مركز فارسكور,Damietta,دمياط
El-Atamna,العتامنة,27.299,30.902,manfalut-eg2512,Manfalut,مركز منفلوط,Assiut,أسيوط
El-Atamna,العتامنة,26.847,31.483,tama-eg2613,Tama,مركز طما,Suhag,سوهاج
El-Atamna w El-Mazaraa,العتامنة والمزارعة,29.27,30.729,atsa-eg2304,Atsa,مركز أطسا,Fayoum,الفيوم
El-Atriss,العتريس,30.031,31.244,sayyida-zainab-eg0107,Sayyida Zainab,قسم السيدة زينب,Cairo,القاهرة
El-Othmaniya,العتمانية,31.102,31.222,el-mahalla-el-kobra-eg1607,El Mahalla El Kobra,مركز المحله الكبرى,Gharbia,الغربية
El-Othmaniya,العتمانية,26.885,31.505,al-badari-eg2506,Al- Badari,مركز البدارى,Assiut,أسيوط
El-Atmour,العتمور,24.525,32.981,kum-umbu-eg2804,Kum Umbu,مركز كوم امبو,Aswan,أسوان
El-Atwa El-Bahariya,العتوة البحرية,31.024,30.928,qutur-eg1611,Qutur,مركز قطور,Gharbia,الغربية
El-Atwa El-Qibliya,العتوة القبلية,31.011,30.929,qutur-eg1611,Qutur,مركز قطور,Gharbia,الغربية
El-Agayza w Manshaat Abdel Rahman Salem,العجايزةومنشأةعبد الرحمنس الم,30.515,31.091,quwisna-eg1708,Quwisna,مركز قويسنا,Menoufia,المنوفية
El-Agamy El-Qibliya - Om Zaghiw,العجمى القبليه - ام زغيو,31.08,29.805,al-amreia-eg0213,Al Amreia,قسم العامرية,Alexandria,الاسكندرية
El-Agamy El-Bahariya,العجمي البحرية,31.1,29.761,al-dikhila-eg0212,Al Dikhila,قسم الدخيلة,Alexandria,الاسكندرية
El-Agamyin,العجميين,29.336,30.721,abshaway-eg2303,Abshaway,مركز أبشواى,Fayoum,الفيوم
El-Agouz,العجوز,28.503,29.129,bahariya-oasis-eg2114,Bahariya Oasis,قسم الواحاتالبحرية,Giza,الجيزة
El-Agouza,العجوزة,30.052,31.215,al-aguza-eg2102,Al-Aguza,قسم العجوزة,Giza,الجيزة
El-Agouzin,العجوزين,31.181,30.761,disuq-eg1506,Disuq,مركز دسوق,Kafr El-Shikh,كفر الشيخ
El-Adar,العدر,27.238,31.09,assuit-eg2503,Assuit,مركز أسيوط,Assiut,أسيوط
El-Adl,العدل,30.613,30.19,abu-l-matamir-eg1803,Abu-l-Matamir,مركز ابوالمطامير,Behera,البحيرة
El-Adliya,العدلية,31.396,31.78,dumyat-eg1102,Dumyat,مركز دمياط,Damietta,دمياط
El-Adliya,العدلية,30.361,31.57,bilbis-eg1308,Bilbis,مركز بلبيس,Sharkia,الشرقية
El-Adwa,العدوة,30.627,31.578,hihya-eg1315,Hihya,مركز ههيا,Sharkia,الشرقية
El-Adwa,العدوة,29.338,30.933,fayyum-eg2302,Fayyum,مركز الفيوم,Fayoum,الفيوم
El-Adawy,العدوي,30.06,31.26,bab-al-shariyya-eg0116,Bab Al-Shariyya,قسم باب الشعرية,Cairo,القاهرة
El-Adawiya,العدوية,30.058,31.236,bulaq-eg0112,Bulaq,قسم بولاق,Cairo,القاهرة
El-Edayat,العديسات,25.58,32.503,luxor-eg2902,Luxor,مركز الأقصر,Luxor,مدينة الأقصر
El-Edayat El-Qibliya,العديسات القبلية,25.567,32.513,luxor-eg2902,Luxor,مركز الأقصر,Luxor,مدينة الأقصر
El-Araba El-Sharqiya,العرابه الشرقيه,26.585,31.62,suhag-eg2603,Suhag,مركز سوهاج,Suhag,سوهاج
El-Iraqi,العراقي,30.509,31.721,abu-hammad-eg1304,Abu Hammad,مركز أبو حماد,Sharkia,الشرقية
El-Iraqiya,العراقية,30.543,30.9,al-shuhada-eg1705,Al-Shuhada,مركز الشهداء,Menoufia,المنوفية
El-Arayishiya El-Gedida,العرايشيه الجديدة,30.599,32.271,ismailiyya-2-eg1902,Ismailiyya 2,قسم ثان الاسماعيلية,Ismailia,الإسماعيلية
El-Arab,العرب,27.445,33.63,hurghada-2-eg3108,Hurghada 2,قسم ثان الغردقة,Red Sea,البحر الأحمر
El-Arabaniyat,العربانيات,30.899,29.498,burg-al-arab-eg0214,Burg al-Arab,قسم برج العرب,Alexandria,الاسكندرية
El-Arqoub,العرقوب,31.053,30.048,kafr-al-dawwar-eg1812,Kafr Al-Dawwar,مركز كفر الدوار,Behera,البحيرة
El-Arky,العركي,26.017,32.167,farshut-eg2710,Farshut,مركز فرشوط,Qena,قنا
El-Orouba,العروبة,30.754,30.368,al-dilingat-eg1805,Al-Dilingat,مركز الدلنجات,Behera,البحيرة
El-Aryan,العريان,31.198,31.972,manzala-eg1207,Manzala,مركز المنزلة,Dakahlia,الدقهلية
El-Aarid,العريض,31.234,31.319,bilqas-eg1208,Bilqas,مركز بلقاس,Dakahlia,الدقهلية
El-Arayqib,العريقيب,31.247,25.307,salloum-eg3303,Salloum,قسم السلوم,Matrouh,مطروح
El-Arein Bahary,العرينبحري,27.793,30.746,markz-mallawi-eg2412,Markz Mallawi,مركز ملوى,Menia,المنيا
El-Arein Qibly,العرينقبلي,27.768,30.743,markz-mallawi-eg2412,Markz Mallawi,مركز ملوى,Menia,المنيا
El-Azazma,العزازمه,31.307,31.749,fariskur-eg1103,Fariskur,مركز فارسكور,Damietta,دمياط
El-Azazna,العزازنة,31.12,31.567,dikirnis-eg1209,Dikirnis,مركز دكرنس,Dakahlia,الدقهلية
El-Azazy,العزازي,30.736,31.969,faqus-eg1312,Faqus,مركز فاقوس,Sharkia,الشرقية
El-Azaziya,العزازية,30.77,31.677,abu-kabir-eg1305,Abu Kabir,مركز أبوكبير,Sharkia,الشرقية
El-Azawy,العزاوى,30.841,31.484,sinbillawin-eg1205,Sinbillawin,مركز السنبلاوين,Dakahlia,الدقهلية
El-Azayza,العزايزة,26.922,31.339,al-ghanayem-eg2508,Al-Ghanayem,مركز الغنايم,Assiut,أسيوط
El-Azab,العزب,30.087,31.26,al-sharabiyya-eg0118,Al Sharabiyya,قسم الشرابية,Cairo,القاهرة
El-Azab,العزب,30.123,31.295,al-matariyya-eg0125,Al Matariyya,قسم المطرية,Cairo,القاهرة
El-Azab,العزب,31.256,32.289,al-arab-eg0302,Al-Arab,قسم العرب,Port Said,بورسعيد
El-Azab,العزب,29.256,30.84,fayyum-eg2302,Fayyum,مركز الفيوم,Fayoum,الفيوم
El-Azab,العزب,26.176,32.522,dishna-eg2706,Dishna,مركز دشنا,Qena,قنا
El-Ezba,العزبة,30.558,32.632,qantara-sharq-al-eg1908,"Qantara Sharq, al-",قسم القنطرة شرق,Ismailia,الإسماعيلية
El-Ezba,العزبة,27.229,30.983,manfalut-eg2512,Manfalut,مركز منفلوط,Assiut,أسيوط
El-Ezba El-Hamra,العزبة الحمراء,30.691,30.62,al-dilingat-eg1805,Al-Dilingat,مركز الدلنجات,Behera,البحيرة
El-Ezba El-Mostagedda,العزبة المستجدة,26.857,31.451,tama-eg2613,Tama,مركز طما,Suhag,سوهاج
El-Ezba w El-Arab,العزبة و العرب,26.573,31.715,akhmim-eg2604,Akhmim,مركز أخميم,Suhag,سوهاج
El-Aziza,العزيزة,31.187,31.943,manzala-eg1207,Manzala,مركز المنزلة,Dakahlia,الدقهلية
El-Aziziya,العزيزية,30.504,31.295,minya-al-qamh-eg1314,Minya al-Qamh,مركز منيا القمح,Sharkia,الشرقية
El-Aziziya,العزيزية,30.859,31.208,samannud-eg1610,Samannud,مركز سمنود,Gharbia,الغربية
El-Aziziya,العزيزية,29.873,31.25,badrashain-eg2110,Badrashain,مركز البدرشين,Giza,الجيزة
El-Aziziya,العزيزية,29.419,31.045,tamya-eg2306,Tamya,مركز طامية,Fayoum,الفيوم
El-Aziziya w Alam El-Haras,العزيزيةوعلم الحرس,30.922,25.776,sidi-barani-eg3305,Sidi Barani,قسم سيدى برانى,Matrouh,مطروح
El-Azima,العزيمة,30.682,30.041,abu-l-matamir-eg1803,Abu-l-Matamir,مركز ابوالمطامير,Behera,البحيرة
El-Azima,العزيمة,30.658,30.62,badr-eg1818,Badr,مركز بدر,Behera,البحيرة
El-Azima,العزيمة,28.255,30.558,markz-samalut-eg2408,Markz Samalut,مركز سمالوط,Menia,المنيا
El-Asakra,العساكرة,28.916,30.91,sumusta-eg2208,Sumusta,مركز سمسطا,Beni Suef,بنى سويف
El-Asakra,العساكرة,26.299,31.947,al-balyana-eg2605,Al-Balyana,مركز البلينا,Suhag,سوهاج
El-Asalta,العس التة,30.514,31.029,shibin-al-kum-eg1702,Shibin al-Kum,مركز شبين الكوم,Menoufia,المنوفية
El-Asaliya,العسلية,26.067,32.786,qina-eg2702,Qina,مركز قنا,Qena,قنا
El-Oseirat,العسيرات,26.07,32.18,farshut-eg2710,Farshut,مركز فرشوط,Qena,قنا
El-Ashmawy,العشماوي,30.049,31.249,muski-eg0110,Muski,قسم الموسكي,Cairo,القاهرة
El-Ashy,العشي,25.759,32.721,tiba-police-station-eg2903,Tiba police station,مركز شرطة طيبة,Luxor,مدينة الأقصر
El-Asara El-Gedida,العصاره الجديدة,30.137,31.363,al-salam-eg0132,Al Salam,قسم السلام,Cairo,القاهرة
El-Asafra,العصافرة,31.158,32.028,matariyya-eg1206,Matariyya,مركز المطرية,Dakahlia,الدقهلية
El-Asayid,العصايد,30.779,31.512,dyarb-nigm-eg1310,Dyarb Nigm,مركز ديرب نجم,Sharkia,الشرقية
El-Asla,العصلة,28.797,34.619,dahab-eg3506,Dahab,قسم دهب,South Sinai,جنوب سيناء
El-Aslougy,العصلوجي,30.553,31.515,zaqaziq-eg1303,Zaqaziq,مركز الزقازيق,Sharkia,الشرقية
El-Adayma,العضايمة,25.234,32.599,isna-eg2705,Isna,مركز إسنا,Qena,قنا
El-Attar,العطار,30.071,31.25,shubra-eg0119,Shubra,قسم شبرا,Cairo,القاهرة
El-Attara,العطارة,30.233,31.305,shibin-al-qanatir-eg1405,Shibin al-Qanatir,مركز شبين القناطر,Kalyoubia,القليوبية
El-Attarin Sharq,العطارين شرق,31.195,29.901,al-attarin-eg0206,Al Attarin,قسم العطارين,Alexandria,الاسكندرية
El-Attarin Gharb,العطارين غرب,31.193,29.899,al-attarin-eg0206,Al Attarin,قسم العطارين,Alexandria,الاسكندرية
El-Atf,العطف,30.424,31.093,al-bagur-eg1704,Al-Bagur,مركز الباجور,Menoufia,المنوفية
El-Atf,العطف,31.205,30.513,al-mahmudiyya-eg1806,Al-Mahmudiyya,مركز المحمودية,Behera,البحيرة
El-Atf,العطف,29.661,31.278,ayat-eg2112,Ayat,مركز العياط,Giza,الجيزة
El-Atouf,العطوف,30.052,31.267,gamaliyya-eg0115,Gamaliyya,قسم الجمالية,Cairo,القاهرة
El-Atwy,العطوي,31.339,31.782,fariskur-eg1103,Fariskur,مركز فارسكور,Damietta,دمياط
El-Atiyat,العطيات,26.176,32.501,dishna-eg2706,Dishna,مركز دشنا,Qena,قنا
El-Atiyat El-Qibliya,العطيات القبلية,27.185,31.239,alfath-eg2513,Alfath,مركز الفتح,Assiut,أسيوط
El-Afadra,العفادرة,27.038,31.357,sahil-silim-eg2507,Sahil Silim,مركز ساحل سليم,Assiut,أسيوط
El-Aqariya,العقارية,26.257,32.017,dar-al-salam-eg2608,Dar al-Salam,مركز دار السلام,Suhag,سوهاج
El-Aqal Bahary,العق البحري,26.982,31.416,al-badari-eg2506,Al- Badari,مركز البدارى,Assiut,أسيوط
El-Aqal Qibly,العق القبلي,26.948,31.456,al-badari-eg2506,Al- Badari,مركز البدارى,Assiut,أسيوط
El-Aqab,العقب,25.815,32.79,qus-eg2707,Qus,مركز قوص,Qena,قنا
El-Oqda,العقدة,30.59,31.397,minya-al-qamh-eg1314,Minya al-Qamh,مركز منيا القمح,Sharkia,الشرقية
El-Aqliya,العقلية,28.647,30.73,markz-al-idwa-eg2405,Markz Al Idwa,مركز العدوة,Menia,المنيا
El-Akresha,العكريشة,31.162,30.125,kafr-al-dawwar-eg1811,Kafr Al-Dawwar,قسم كفرالدوار,Behera,البحيرة
El-Akkour,العكور,31.039,34.114,shaykh-zuwayd-eg3408,Shaykh Zuwayd,قسم الشيخ زويد,North Sinai,شمال سيناء
El-Ola,العلا,28.29,30.559,markz-samalut-eg2408,Markz Samalut,مركز سمالوط,Menia,المنيا
El-Alaqma,العلاقمة,30.624,31.655,hihya-eg1315,Hihya,مركز ههيا,Sharkia,الشرقية
El-Alaqy,العلاقى,23.869,33.041,aswan-eg2802,Aswan,مركز أسوان,Aswan,أسوان
El-Alaqy - Tahgeer,العلاقي - تهجير,24.637,32.952,nasr-eg2805,Nasr,مركز نصر,Aswan,أسوان
El-Alamiya,العلامية,31.157,31.132,biyalu-eg1504,Biyalu,مركز بيلا,Kafr El-Shikh,كفر الشيخ
El-Alamiya,العلامية,30.879,30.502,al-dilingat-eg1805,Al-Dilingat,مركز الدلنجات,Behera,البحيرة
El-Alawiya,العلوية,30.579,31.604,zaqaziq-eg1303,Zaqaziq,مركز الزقازيق,Sharkia,الشرقية
El-Alawiya,العلوية,29.386,30.66,abshaway-eg2303,Abshaway,مركز أبشواى,Fayoum,الفيوم
El-Oleyqat,العليقات,25.933,32.832,qus-eg2707,Qus,مركز قوص,Qena,قنا
El-Eleimy,العليمى,30.057,31.234,bulaq-eg0112,Bulaq,قسم بولاق,Cairo,القاهرة
El-Ammar El-Koubry,العمار الكبري,30.34,31.127,tukh-eg1408,Tukh,مركز طوخ,Kalyoubia,القليوبية
El-Amara,العمارة,30.532,31.636,abu-hammad-eg1304,Abu Hammad,مركز أبو حماد,Sharkia,الشرقية
El-Amarna,العمارنة,31.14,31.976,manzala-eg1207,Manzala,مركز المنزلة,Dakahlia,الدقهلية
El-Ammariya,العمارية,27.618,30.875,markz-dir-mawas-eg2407,Markz Dir Mawas,مركز دير مواس,Menia,المنيا
El-Ammariya El-Sharqiya,العمارية الشرقية,27.611,30.869,markz-dir-mawas-eg2407,Markz Dir Mawas,مركز دير مواس,Menia,المنيا
El-Amayda,العمايدة,26.43,31.741,al-minshat-eg2607,Al-Minshat,مركز المنشأة,Suhag,سوهاج
El-Amma,العمة,31.008,30.965,qutur-eg1611,Qutur,مركز قطور,Gharbia,الغربية
El-Omdan,العمدان,31.221,30.887,riyad-eg1512,Riyad,مركز الرياض,Kafr El-Shikh,كفر الشيخ
El-Omda Nagm El-Din El-Zafer,العمدة نجم الدين الظافر,31.554,26.143,sidi-barani-eg3305,Sidi Barani,قسم سيدى برانى,Matrouh,مطروح
El-Omraniya El-Sharqiya,العمرانية الشرقية,30.003,31.207,umraniyya-eg2118,Umraniyya,قسم العمرانية,Giza,الجيزة
El-Omraniya El-Gharbiya,العمرانية الغربية,29.998,31.198,umraniyya-eg2118,Umraniyya,قسم العمرانية,Giza,الجيزة
El-Omrawy,العمراوي,31.275,30.027,muntazah-eg0201,Muntazah,قسم المنتزة,Alexandria,الاسكندرية
El-Omra,العمرة,26.145,32.0,abu-tisht-eg2703,Abu Tisht,مركز أبو طشت,Qena,قنا
El-Omry,العمري,30.041,31.253,al-darb-al-ahmar-eg0114,Al Darb al-Ahmar,قسم الدرب الأحمر,Cairo,القاهرة
El-Omry,العمري,30.783,30.983,tanta-2-eg1602,Tanta 2,قسم ثان طنطا,Gharbia,الغربية
El-Omriya,العمرية,30.96,30.434,damanhur-eg1802,Damanhur,مركز دمنهور,Behera,البحيرة
El-Amour,العمور,26.633,31.543,al-maragha-eg2606,Al-Maragha,مركز المراغة,Suhag,سوهاج
El-Amid,العميد,30.837,29.291,al-hammam-eg3302,Al-Hammam,قسم الحمام,Matrouh,مطروح
El-Amid w Kafr Ali El-Sayed,العميدوكفرعلي السيد,30.911,31.555,tamy-al-amdid-eg1216,Tamy Al-Amdid,مركز تمى الأمديد,Dakahlia,الدقهلية
El-Ananiya,العنانية,31.376,31.828,dumyat-eg1102,Dumyat,مركز دمياط,Damietta,دمياط
El-Anbariya,العنبرية,26.522,31.805,al-minshat-eg2607,Al-Minshat,مركز المنشأة,Suhag,سوهاج
El-Awasga,العواسجة,30.62,31.6,hihya-eg1315,Hihya,مركز ههيا,Sharkia,الشرقية
El-Awamer,العوامر,30.808,30.658,itay-al-barud-eg1807,Itay Al-Barud,مركز إيتاى البارود,Behera,البحيرة
El-Awamer,العوامر,27.305,31.174,abnub-eg2504,Abnub,مركز أبنوب,Assiut,أسيوط
El-Awamer El-Gharbiya,العوامر الغربية,26.106,32.056,abu-tisht-eg2703,Abu Tisht,مركز أبو طشت,Qena,قنا
El-Awamer Bahary,العوامربحري,26.316,31.84,girga-eg2610,Girga,مركز جرجا,Suhag,سوهاج
El-Awamer Qibly,العوامرقبلي,26.309,31.85,girga-eg2610,Girga,مركز جرجا,Suhag,سوهاج
El-Awamer w Beni Barza,العوامروبنيبرزة,26.182,32.079,abu-tisht-eg2703,Abu Tisht,مركز أبو طشت,Qena,قنا
El-Awamiya,العوامية,26.678,31.649,saqulta-eg2612,Saqulta,مركز ساقلته,Suhag,سوهاج
El-Awawna,العواونة,29.118,30.953,ahnasya-eg2206,Ahnasya,مركز أهناسيا,Beni Suef,بنى سويف
El-Awayisa,العوايسة,28.296,30.727,markz-samalut-eg2408,Markz Samalut,مركز سمالوط,Menia,المنيا
El-Awga,العوجا,30.972,30.544,damanhur-eg1802,Damanhur,مركز دمنهور,Behera,البحيرة
El-Awadiya,العوضية,31.211,31.617,shirbin-eg1210,Shirbin,مركز شربين,Dakahlia,الدقهلية
El-Oufy,العوفي,29.237,30.698,atsa-eg2304,Atsa,مركز أطسا,Fayoum,الفيوم
El-Awakliya,العوكلية,26.182,31.964,al-balyana-eg2605,Al-Balyana,مركز البلينا,Suhag,سوهاج
El-Ouna,العونة,27.09,31.353,sahil-silim-eg2507,Sahil Silim,مركز ساحل سليم,Assiut,أسيوط
El-Oweidat,العويضات,25.986,32.8,qift-eg2711,Qift,مركز قفط,Qena,قنا
El-Oweina,العوينة,25.722,28.131,a-dakhla-oasis-eg3202,A-Dakhla Oasis,مركز الوحات الداخلة,New Valley,الوادى الجديد
El-Ayadiya,العيادية,31.233,31.523,shirbin-eg1210,Shirbin,مركز شربين,Dakahlia,الدقهلية
El-Ayyash,العياش,31.46,31.299,burullus-eg1503,Burullus,مركز البرلس,Kafr El-Shikh,كفر الشيخ
El-Ayayisha,العيايشة,25.827,32.78,qus-eg2707,Qus,مركز قوص,Qena,قنا
El-Eisawiya Sharq,العيساويةشرق,26.564,31.805,akhmim-eg2604,Akhmim,مركز أخميم,Suhag,سوهاج
El-Eisawiya,العيسوية,29.975,31.241,basatin-eg0135,Basatin,قسم البساتين,Cairo,القاهرة
El-Eisawiya,العيسوية,31.26,30.793,sidi-salim-eg1507,Sidi Salim,مركز سيدى سالم,Kafr El-Shikh,كفر الشيخ
El-Ein,العين,25.851,29.05,a-dakhla-oasis-eg3202,A-Dakhla Oasis,مركز الوحات الداخلة,New Valley,الوادى الجديد
El-Einy,العيني,30.028,31.235,sayyida-zainab-eg0107,Sayyida Zainab,قسم السيدة زينب,Cairo,القاهرة
El-Ouyoun,العيون,30.842,30.618,itay-al-barud-eg1807,Itay Al-Barud,مركز إيتاى البارود,Behera,البحيرة
El-Ghabat,الغابات,26.177,31.952,al-balyana-eg2605,Al-Balyana,مركز البلينا,Suhag,سوهاج
El-Ghaba,الغابة,30.731,31.74,abu-kabir-eg1305,Abu Kabir,مركز أبوكبير,Sharkia,الشرقية
El-Ghaba,الغابة,31.134,30.25,abu-hummus-eg1804,Abu Hummus,مركز ابوحمص,Behera,البحيرة
El-Ghaba,الغابة,29.246,30.747,atsa-eg2304,Atsa,مركز أطسا,Fayoum,الفيوم
El-Ghar,الغار,30.557,31.548,zaqaziq-eg1303,Zaqaziq,مركز الزقازيق,Sharkia,الشرقية
El-Gharaqa,الغراقة,30.882,31.337,aga-eg1204,Aga,مركز أجا,Dakahlia,الدقهلية
El-Gharbawy,الغرباوي,28.351,30.648,markz-samalut-eg2408,Markz Samalut,مركز سمالوط,Menia,المنيا
El-Gharbi b El-Salamiya,الغربيب السلامية,26.052,32.271,nag-hammadi-eg2708,Nag Hammadi,مركز نجع حمادى,Qena,قنا
